--------------------------------------------
	ID	|	A	|	Nx	|	Px	|	Ix	|	PxIx	|
	1	|	!	|	1.000	|	0.006	|	7.313	|	0.046	|
	2	|	,	|	1.000	|	0.006	|	7.313	|	0.046	|
	3	|	.	|	2.000	|	0.013	|	6.313	|	0.079	|
	4	|	:	|	1.000	|	0.006	|	7.313	|	0.046	|
	5	|	_	|	26.000	|	0.164	|	2.612	|	0.427	|
	6	|	à	|	6.000	|	0.038	|	4.728	|	0.178	|
	7	|	á	|	1.000	|	0.006	|	7.313	|	0.046	|
	8	|	â	|	5.000	|	0.031	|	4.991	|	0.157	|
	9	|	ã	|	2.000	|	0.013	|	6.313	|	0.079	|
	10	|	ä	|	8.000	|	0.050	|	4.313	|	0.217	|
	11	|	å	|	9.000	|	0.057	|	4.143	|	0.235	|
	12	|	ç	|	4.000	|	0.025	|	5.313	|	0.134	|
	13	|	è	|	12.000	|	0.075	|	3.728	|	0.281	|
	14	|	é	|	3.000	|	0.019	|	5.728	|	0.108	|
	15	|	ê	|	3.000	|	0.019	|	5.728	|	0.108	|
	16	|	ë	|	6.000	|	0.038	|	4.728	|	0.178	|
	17	|	ì	|	2.000	|	0.013	|	6.313	|	0.079	|
	18	|	í	|	5.000	|	0.031	|	4.991	|	0.157	|
	19	|	î	|	12.000	|	0.075	|	3.728	|	0.281	|
	20	|	ï	|	3.000	|	0.019	|	5.728	|	0.108	|
	21	|	ð	|	8.000	|	0.050	|	4.313	|	0.217	|
	22	|	ñ	|	7.000	|	0.044	|	4.506	|	0.198	|
	23	|	ò	|	9.000	|	0.057	|	4.143	|	0.235	|
	24	|	ó	|	2.000	|	0.013	|	6.313	|	0.079	|
	25	|	õ	|	3.000	|	0.019	|	5.728	|	0.108	|
	26	|	ö	|	1.000	|	0.006	|	7.313	|	0.046	|
	27	|	÷	|	1.000	|	0.006	|	7.313	|	0.046	|
	28	|	ø	|	2.000	|	0.013	|	6.313	|	0.079	|
	29	|	û	|	3.000	|	0.019	|	5.728	|	0.108	|
	30	|	ü	|	5.000	|	0.031	|	4.991	|	0.157	|
	31	|	ÿ	|	6.000	|	0.038	|	4.728	|	0.178	|
