--------------------------------------------
	ID	|	A	|	Ny	|	Py	|	Iy	|	PyIy	|
	1	|	!_	|	1.000	|	0.006	|	7.304	|	0.046	|
	2	|	,_	|	1.000	|	0.006	|	7.304	|	0.046	|
	3	|	._	|	1.000	|	0.006	|	7.304	|	0.046	|
	4	|	:_	|	1.000	|	0.006	|	7.304	|	0.046	|
	5	|	_б	|	1.000	|	0.006	|	7.304	|	0.046	|
	6	|	_в	|	5.000	|	0.032	|	4.982	|	0.158	|
	7	|	_г	|	1.000	|	0.006	|	7.304	|	0.046	|
	8	|	_д	|	1.000	|	0.006	|	7.304	|	0.046	|
	9	|	_е	|	1.000	|	0.006	|	7.304	|	0.046	|
	10	|	_и	|	4.000	|	0.025	|	5.304	|	0.134	|
	11	|	_м	|	1.000	|	0.006	|	7.304	|	0.046	|
	12	|	_н	|	3.000	|	0.019	|	5.719	|	0.109	|
	13	|	_п	|	3.000	|	0.019	|	5.719	|	0.109	|
	14	|	_р	|	2.000	|	0.013	|	6.304	|	0.080	|
	15	|	_с	|	1.000	|	0.006	|	7.304	|	0.046	|
	16	|	_т	|	1.000	|	0.006	|	7.304	|	0.046	|
	17	|	_ч	|	1.000	|	0.006	|	7.304	|	0.046	|
	18	|	_я	|	1.000	|	0.006	|	7.304	|	0.046	|
	19	|	а_	|	2.000	|	0.013	|	6.304	|	0.080	|
	20	|	аз	|	1.000	|	0.006	|	7.304	|	0.046	|
	21	|	ас	|	1.000	|	0.006	|	7.304	|	0.046	|
	22	|	ат	|	1.000	|	0.006	|	7.304	|	0.046	|
	23	|	аш	|	1.000	|	0.006	|	7.304	|	0.046	|
	24	|	бо	|	1.000	|	0.006	|	7.304	|	0.046	|
	25	|	ви	|	1.000	|	0.006	|	7.304	|	0.046	|
	26	|	во	|	3.000	|	0.019	|	5.719	|	0.109	|
	27	|	вы	|	1.000	|	0.006	|	7.304	|	0.046	|
	28	|	гд	|	1.000	|	0.006	|	7.304	|	0.046	|
	29	|	гу	|	1.000	|	0.006	|	7.304	|	0.046	|
	30	|	д_	|	1.000	|	0.006	|	7.304	|	0.046	|
	31	|	де	|	1.000	|	0.006	|	7.304	|	0.046	|
	32	|	до	|	1.000	|	0.006	|	7.304	|	0.046	|
	33	|	ду	|	1.000	|	0.006	|	7.304	|	0.046	|
	34	|	дц	|	1.000	|	0.006	|	7.304	|	0.046	|
	35	|	дь	|	1.000	|	0.006	|	7.304	|	0.046	|
	36	|	дя	|	2.000	|	0.013	|	6.304	|	0.080	|
	37	|	е!	|	1.000	|	0.006	|	7.304	|	0.046	|
	38	|	е:	|	1.000	|	0.006	|	7.304	|	0.046	|
	39	|	е_	|	2.000	|	0.013	|	6.304	|	0.080	|
	40	|	ед	|	2.000	|	0.013	|	6.304	|	0.080	|
	41	|	ей	|	1.000	|	0.006	|	7.304	|	0.046	|
	42	|	ек	|	1.000	|	0.006	|	7.304	|	0.046	|
	43	|	ес	|	1.000	|	0.006	|	7.304	|	0.046	|
	44	|	з_	|	1.000	|	0.006	|	7.304	|	0.046	|
	45	|	зг	|	1.000	|	0.006	|	7.304	|	0.046	|
	46	|	зе	|	1.000	|	0.006	|	7.304	|	0.046	|
	47	|	зо	|	1.000	|	0.006	|	7.304	|	0.046	|
	48	|	и_	|	6.000	|	0.038	|	4.719	|	0.179	|
	49	|	ид	|	1.000	|	0.006	|	7.304	|	0.046	|
	50	|	из	|	1.000	|	0.006	|	7.304	|	0.046	|
	51	|	ил	|	1.000	|	0.006	|	7.304	|	0.046	|
	52	|	им	|	1.000	|	0.006	|	7.304	|	0.046	|
	53	|	ит	|	1.000	|	0.006	|	7.304	|	0.046	|
	54	|	их	|	1.000	|	0.006	|	7.304	|	0.046	|
	55	|	й.	|	1.000	|	0.006	|	7.304	|	0.046	|
	56	|	й_	|	2.000	|	0.013	|	6.304	|	0.080	|
	57	|	ка	|	1.000	|	0.006	|	7.304	|	0.046	|
	58	|	ко	|	1.000	|	0.006	|	7.304	|	0.046	|
	59	|	кр	|	1.000	|	0.006	|	7.304	|	0.046	|
	60	|	ле	|	2.000	|	0.013	|	6.304	|	0.080	|
	61	|	ли	|	2.000	|	0.013	|	6.304	|	0.080	|
	62	|	ль	|	1.000	|	0.006	|	7.304	|	0.046	|
	63	|	ля	|	1.000	|	0.006	|	7.304	|	0.046	|
	64	|	ми	|	1.000	|	0.006	|	7.304	|	0.046	|
	65	|	мо	|	1.000	|	0.006	|	7.304	|	0.046	|
	66	|	на	|	2.000	|	0.013	|	6.304	|	0.080	|
	67	|	ни	|	1.000	|	0.006	|	7.304	|	0.046	|
	68	|	ны	|	2.000	|	0.013	|	6.304	|	0.080	|
	69	|	од	|	2.000	|	0.013	|	6.304	|	0.080	|
	70	|	ое	|	1.000	|	0.006	|	7.304	|	0.046	|
	71	|	ои	|	1.000	|	0.006	|	7.304	|	0.046	|
	72	|	ой	|	2.000	|	0.013	|	6.304	|	0.080	|
	73	|	ол	|	3.000	|	0.019	|	5.719	|	0.109	|
	74	|	ор	|	1.000	|	0.006	|	7.304	|	0.046	|
	75	|	ос	|	1.000	|	0.006	|	7.304	|	0.046	|
	76	|	от	|	1.000	|	0.006	|	7.304	|	0.046	|
	77	|	по	|	2.000	|	0.013	|	6.304	|	0.080	|
	78	|	пр	|	1.000	|	0.006	|	7.304	|	0.046	|
	79	|	ра	|	2.000	|	0.013	|	6.304	|	0.080	|
	80	|	ре	|	3.000	|	0.019	|	5.719	|	0.109	|
	81	|	ри	|	1.000	|	0.006	|	7.304	|	0.046	|
	82	|	ро	|	1.000	|	0.006	|	7.304	|	0.046	|
	83	|	рс	|	1.000	|	0.006	|	7.304	|	0.046	|
	84	|	с_	|	1.000	|	0.006	|	7.304	|	0.046	|
	85	|	ск	|	1.000	|	0.006	|	7.304	|	0.046	|
	86	|	сн	|	2.000	|	0.013	|	6.304	|	0.080	|
	87	|	ст	|	2.000	|	0.013	|	6.304	|	0.080	|
	88	|	ся	|	1.000	|	0.006	|	7.304	|	0.046	|
	89	|	т.	|	1.000	|	0.006	|	7.304	|	0.046	|
	90	|	т_	|	2.000	|	0.013	|	6.304	|	0.080	|
	91	|	тр	|	2.000	|	0.013	|	6.304	|	0.080	|
	92	|	ть	|	3.000	|	0.019	|	5.719	|	0.109	|
	93	|	тя	|	1.000	|	0.006	|	7.304	|	0.046	|
	94	|	ул	|	1.000	|	0.006	|	7.304	|	0.046	|
	95	|	ут	|	1.000	|	0.006	|	7.304	|	0.046	|
	96	|	х,	|	1.000	|	0.006	|	7.304	|	0.046	|
	97	|	х_	|	2.000	|	0.013	|	6.304	|	0.080	|
	98	|	ца	|	1.000	|	0.006	|	7.304	|	0.046	|
	99	|	чр	|	1.000	|	0.006	|	7.304	|	0.046	|
	100	|	шл	|	1.000	|	0.006	|	7.304	|	0.046	|
	101	|	шо	|	1.000	|	0.006	|	7.304	|	0.046	|
	102	|	ыз	|	1.000	|	0.006	|	7.304	|	0.046	|
	103	|	ых	|	2.000	|	0.013	|	6.304	|	0.080	|
	104	|	ь_	|	2.000	|	0.013	|	6.304	|	0.080	|
	105	|	ьк	|	1.000	|	0.006	|	7.304	|	0.046	|
	106	|	ьс	|	1.000	|	0.006	|	7.304	|	0.046	|
	107	|	ьш	|	1.000	|	0.006	|	7.304	|	0.046	|
	108	|	я_	|	1.000	|	0.006	|	7.304	|	0.046	|
