--------------------------------------------
	ID	|	A	|	Nz	|	Pz	|	Iz	|	PzIz	|
	1	|	!_п	|	1.000	|	0.006	|	7.295	|	0.046	|
	2	|	,_и	|	1.000	|	0.006	|	7.295	|	0.046	|
	3	|	._и	|	1.000	|	0.006	|	7.295	|	0.046	|
	4	|	:_е	|	1.000	|	0.006	|	7.295	|	0.046	|
	5	|	_бо	|	1.000	|	0.006	|	7.295	|	0.046	|
	6	|	_ви	|	1.000	|	0.006	|	7.295	|	0.046	|
	7	|	_во	|	3.000	|	0.019	|	5.710	|	0.109	|
	8	|	_вы	|	1.000	|	0.006	|	7.295	|	0.046	|
	9	|	_гд	|	1.000	|	0.006	|	7.295	|	0.046	|
	10	|	_дя	|	1.000	|	0.006	|	7.295	|	0.046	|
	11	|	_ес	|	1.000	|	0.006	|	7.295	|	0.046	|
	12	|	_и_	|	2.000	|	0.013	|	6.295	|	0.080	|
	13	|	_из	|	1.000	|	0.006	|	7.295	|	0.046	|
	14	|	_их	|	1.000	|	0.006	|	7.295	|	0.046	|
	15	|	_мо	|	1.000	|	0.006	|	7.295	|	0.046	|
	16	|	_на	|	2.000	|	0.013	|	6.295	|	0.080	|
	17	|	_ни	|	1.000	|	0.006	|	7.295	|	0.046	|
	18	|	_по	|	2.000	|	0.013	|	6.295	|	0.080	|
	19	|	_пр	|	1.000	|	0.006	|	7.295	|	0.046	|
	20	|	_ра	|	1.000	|	0.006	|	7.295	|	0.046	|
	21	|	_ре	|	1.000	|	0.006	|	7.295	|	0.046	|
	22	|	_с_	|	1.000	|	0.006	|	7.295	|	0.046	|
	23	|	_тр	|	1.000	|	0.006	|	7.295	|	0.046	|
	24	|	_чр	|	1.000	|	0.006	|	7.295	|	0.046	|
	25	|	_яс	|	1.000	|	0.006	|	7.295	|	0.046	|
	26	|	а_в	|	1.000	|	0.006	|	7.295	|	0.046	|
	27	|	а_и	|	1.000	|	0.006	|	7.295	|	0.046	|
	28	|	азг	|	1.000	|	0.006	|	7.295	|	0.046	|
	29	|	асн	|	1.000	|	0.006	|	7.295	|	0.046	|
	30	|	ать	|	1.000	|	0.006	|	7.295	|	0.046	|
	31	|	ашл	|	1.000	|	0.006	|	7.295	|	0.046	|
